address,name_legit,size_legit,nodes_legit,edges_legit,inst_count_legit,mnemonic_sha1_legit,disasm_sha1_legit,mnemonic_preview_legit,name_patched,size_patched,nodes_patched,edges_patched,inst_count_patched,mnemonic_sha1_patched,disasm_sha1_patched,mnemonic_preview_patched,_merge,classification
4199088,,,,,,,,,sub_4012B0,42.0,9.0,16.0,19.0,4d0d6b1e57148ecf8a2d210051f9b54b15eb6498,1ab0b1a6d1d99b7b9e30a6cf316243985d261c95,daa jz cli push jnb jbe in sti call enter test sub outsb xchg mov cmp popf xor retn,right_only,added_in_patched
4203072,,,,,,,,,sub_402240,10.0,3.0,4.0,26.0,6af7c3e70b17da0d1095a91e774a2860d05734c5,29970082d47048187568f63bbcff8141fd3ab2df,jcnd goto goto mov mov call mov mov ldx mov ext cfshl mov mov und nop pop ldx add icall jz cli xchg das rol retf,right_only,added_in_patched
4203136,,,,,,,,,sub_402280,16.0,5.0,8.0,39.0,d1163d2e6fa12653056cf503408ad0e38b90bf24,36c2d3cab67a286273cdfcfb465674385c124d82,jcnd goto mov mov call call mov mov ldx mov ext cfshl mov mov und mov mov sub ldx mov add ldx mov mov ldx cfadd ofadd add setz setp sets mov jz cli xchg das rol les add,right_only,added_in_patched
4203168,,,,,,,,,sub_4022A0,35.0,13.0,26.0,110.0,3a06cf6a89d80418ab6c90e702c11c78f269016e,30c8eae55c67db5753e748cd7c9e31c47be47710,jcnd jcnd jcnd jcnd jcnd goto goto goto goto goto ext ofadd add setz setp sets mov mov setb seto sub setz setp sets mov mov call mov mov ldx mov ext cfshl mov mov und mov mov sub ldx mov add ldx mov mov ldx cfadd ofadd add setz setp sets mov mov mov call nop push mov mov lnot mov mov or lnot ofadd add setz setp sets mov mov xor mov mov mov mov ldx mov mov,right_only,added_in_patched
4203328,,,,,,,,,sub_402340,112.0,19.0,40.0,255.0,f3658b6f9118b66d575bfd0660e8b81b89500fcc,2748db9aa768d0af28a7cf9a37777cce9c4631ec,jcnd jcnd jcnd goto goto jcnd jcnd jcnd jcnd goto goto goto goto call call call mov mov setb seto sub setz setp sets mov mov ldx mov mov add mov mov setb seto sub setz setp sets mov mov setb seto sub setz setp sets mov mov ldx mov mov add mov setb seto sub setz setp sets nop push mov mov lnot mov mov ldx mov add ldx mov mov mov mov mov mov lnot mov mov ldx,right_only,added_in_patched
4203952,,,,,,,,,sub_4025B0,214.0,24.0,50.0,472.0,37060ab2433dd5248d7725c39f1be7615a38b8e2,711a7245005e8e70919e8d7c9538ecb9297b0435,jcnd jcnd jcnd jcnd jcnd jcnd goto goto goto jcnd jcnd goto goto jcnd jcnd jcnd goto goto goto mov mov ldx mov mov mov and mov mov setz setp sets mov mov sub setnz mov mov mov mov setb seto sub setz setp sets ext call mov mul add mov sub ldx mov and mov mov setz setp sets mov xor mov mov setz setp sets mov mov mov stx ext mov mov mov mov sub ldx mov mov,right_only,added_in_patched
4205104,,,,,,,,,sub_402A30,42.0,5.0,8.0,99.0,728f51e325906f33e9522b2efd37772bab932a1b,0392edec3c0f9a55c5373f5158f689c33db559c6,jcnd jcnd goto jz cli xchg das rol retf fistp mov jg leave cdq sti call cmp cmp popf cmp retn mov mov call mov mov ldx mov ext cfshl mov mov und nop pop ldx add ijmp f2i und mov mov stx mov mov ldx mov mov mov xor or lnot call mov nop pop xds call mov nop nop mov nop nop mov mov icall mov mov setb seto sub setz setp sets mov mov setb seto sub,right_only,added_in_patched
4209616,,,,,,,,,sub_403BD0,71.0,6.0,10.0,29.0,4180b89ffb2881287a415b5a19cf75a06a811856,1ab300fbc88a7cbcd2f13546434e5ac013e73535,add xchg daa aaa les xchg retf jz cli cmp lodsd cmp into cmp mov jnp arpl ror mov xchg mov xchg cmps jmp push popf fadd call retn,right_only,added_in_patched
4210880,,,,,,,,,sub_4040C0,88.0,12.0,22.0,208.0,379a4ccab4d8765732a7774fe245449b3ff2b449,59a4f57e2bd49ac717e1ff1402c4bf0c8ff5d8e5,jcnd jcnd jcnd goto goto jcnd goto goto goto xchg or mov js add add cli mov les mov fxch7 adc scasb add jz cli aaa dec loop xor cmp or mov imul aaa hnt jle xchg movsd jmp cli scasb add mov mov sub ldx mov mov mov stx mov or mov mov setz setp sets mov mov mov mov mov cfadd ofadd add setz setp sets mov mov mov add ldx cfadd ofadd add setz setp sets mov call,right_only,added_in_patched
4211824,,,,,,,,,sub_404470,115.0,14.0,32.0,48.0,f06089b83338e809b5e080e900176478000600f1,958e4509df03a2adabe3928855ebb0f2808d1700,jz cli xchg retf cli scasb add jz cli xchg das rol retf outsb jno push cli scasb add in sti call cmp xchg das rol mov push jnp fild mov mov mov add jz cli xchg das rol mov push jnp fisttp mov not jmp enter jmp,right_only,added_in_patched
