address,name_legit,size_legit,nodes_legit,edges_legit,inst_count_legit,mnemonic_sha1_legit,disasm_sha1_legit,mnemonic_preview_legit,name_patched,size_patched,nodes_patched,edges_patched,inst_count_patched,mnemonic_sha1_patched,disasm_sha1_patched,mnemonic_preview_patched,_merge,classification
4198400,ResolveWinExec,33.0,1.0,0.0,41.0,ec6c4bf25edd2f323c78b135c97c28618d46b011,b2488eb8a6c80ed4e69edb3036f13ddd85fe638d,push mov push push call push call mov pop retn mov mov nop push mov nop push mov nop nop mov mov ldx icall nop push mov nop nop mov mov ldx icall mov mov mov stx nop pop mov icall,,,,,,,,,left_only,removed_from_patched
4198448,sub_401030,28.0,1.0,0.0,39.0,452bcbebd14a58631d6fdd307d96febe59cdee85,bedc7c83bbf9fb6bc92d7609ff106ef1d511883e,push mov mov call push call add pop retn mov mov mov mov nop nop mov mov call mov nop push mov nop nop mov mov call mov cfadd ofadd add setz setp sets mov nop pop mov icall,sub_401030,5.0,3.0,4.0,10.0,b01467da74d7278e6d4f9b430cfbda077d51a290,743c77f9a282a9f5d6870aa8e84f89dd025e67d0,jcnd goto goto jz cli jmp mov mov call icall,both,patched
4198480,sub_401050,28.0,1.0,0.0,39.0,8092251b478b47693537e2ab20bc9859e9154de6,87dd5c838474ec449391af81621eb61bf1c1079f,push mov mov call push call mov mov mov mov nop nop mov mov call mov nop push mov nop nop mov mov call mov cfadd ofadd add setz setp sets mov nop pop mov icall add pop retn,sub_401050,32.0,5.0,8.0,109.0,cbf403c9102a09a579582ffdfcc8a9b7c0a21d24,3f539ee7a21b580d01f86c4f845277577f19b24d,jcnd goto goto jz cli call lodsd test sal mov and cmpsb out mov mov call mov nop nop icall mov mov ldx mov mov add mov and mov mov setz setp sets mov cfshl shl und setz setp sets mov mov mov mov sub ldx mov and mov mov setz setp sets stx mov mov ldx mov mov ldx setb seto sub setz setp sets mov add add mov call seto sub setz setp sets mov xdu call mov,both,patched
4198512,sub_401070,28.0,1.0,0.0,39.0,5bcec560dc9bec6c561ba12ef3a07355d1be9968,e9193b26628586d91f4eb05c14b0401f96a8c56c,mov mov mov mov nop nop mov mov call mov nop push mov nop nop mov mov call mov cfadd ofadd add setz setp sets mov nop pop mov icall push mov mov call push call add pop retn,sub_401070,32.0,5.0,8.0,114.0,cb77e3c56c5c37fcc5a074bd42f484c3d0987521,e15cb92b7abb5cbb1cd0d49951f9699fc077b303,jcnd goto goto mov mov call mov mov sub ldx ofadd add setz setp sets stx mov mov sub ldx mov add ldx mov mov ldx setb seto sub setz setp sets mov add mov mov sub ldx mov mov cfadd ofadd add cfadd ofadd or or add setz setp sets stx mov mov ldx mov mov ldx setb seto sub setz setp sets mov add add mov call seto sub setz setp sets mov xdu call mov call mov,both,patched
4198544,sub_401090,15.0,1.0,0.0,19.0,8e63de282e30235e657edfecab16692892f7cf3b,a7cb763340711f43df08109c187b1cdc7f88a41b,mov mov mov mov nop nop mov mov call nop pop mov icall push mov mov call pop retn,,,,,,,,,left_only,removed_from_patched
4198560,sub_4010A0,15.0,1.0,0.0,19.0,8e63de282e30235e657edfecab16692892f7cf3b,66548c01fac5c647608d45d5f4ce052de6537506,mov mov mov mov nop nop mov mov call nop pop mov icall push mov mov call pop retn,sub_4010A0,21.0,9.0,16.0,54.0,020b412f4a6c0a7896bc6ace0c8cdf30f56f2607,c3345acd87ac59328f170b9a73853833e1632619,jcnd jcnd jcnd goto goto goto goto mov mov mov mov mov call mov nop nop mov nop nop mov mov sub ldx add ldx icall mov mov mov mov mov mov xor or lnot mov add mov sub ldx cfadd ofadd add setz setp sets stx jz cli call jz mov jg add,both,patched
4198576,sub_4010B0,17.0,1.0,0.0,23.0,4754a4d8644fa78e6bb69e67a138f496783e6c71,dde632de6febe1f2c536fb9dcc24f30f62d37f12,mov mov nop push mov mov mov nop nop mov mov call nop pop mov icall push mov push mov call pop retn,,,,,,,,,left_only,removed_from_patched
4198608,sub_4010D0,17.0,1.0,0.0,23.0,4754a4d8644fa78e6bb69e67a138f496783e6c71,73e16b06a2ee3114adbfa713ab737a2c0aadd428,mov mov nop push mov mov mov nop nop mov mov call nop pop mov icall push mov push mov call pop retn,sub_4010D0,51.0,6.0,10.0,166.0,53d6ecf8b57709b5e056366ecb45e062ae8b03d8,581344e9faaaecf0046b95ca7dd903710485ff80,jcnd jcnd goto mov mov call mov mov mov mov sub ldx cfshr shr und setz setp sets stx mov mov ldx ext stx mov mov ldx setb seto sub setz setp sets mov add mov mov and mov mov setz setp sets lnot mov.fpu mov nop push call mov mov ldx setb seto sub setz setp sets mov add mov mov ldx cfadd ofadd add setz setp sets mov call call mov nop nop mov nop nop mov mov,both,patched
4198640,sub_4010F0,15.0,1.0,0.0,19.0,8e63de282e30235e657edfecab16692892f7cf3b,76acff7c24594d5668f7584892e32a60dfdd9b4a,mov mov mov mov nop nop mov mov call nop pop mov icall push mov mov call pop retn,,,,,,,,,left_only,removed_from_patched
4198656,sub_401100,28.0,1.0,0.0,39.0,5bcec560dc9bec6c561ba12ef3a07355d1be9968,a2e9a02cbd5c19f375a218f0a0bc572a1b804ab7,mov mov mov mov nop nop mov mov call mov nop push mov nop nop mov mov call mov cfadd ofadd add setz setp sets mov nop pop mov icall push mov mov call push call add pop retn,,,,,,,,,left_only,removed_from_patched
