idx,legit_addr,legit_disasm,patched_addr,patched_disasm,same_line,legit_addr_hex,patched_addr_hex
0,0,"jcnd   tt.1,",21360,jz      short near ptr loc_4053AB+3,False,0x00000000,0x00005370
1,0,"jcnd   zf.1,",21362,cli,False,0x00000000,0x00005372
2,0,goto,21363,"mov     ah, 0B1h",False,0x00000000,0x00005373
3,0,"jcnd   zf.1,",21365,"xor     byte ptr [edi+72AF61E6h], 57h",False,0x00000000,0x00005375
4,0,goto,21372,scasb,False,0x00000000,0x0000537C
5,0,"jcnd   tt.1,",21373,"fcmovb  st, st(7)",False,0x00000000,0x0000537D
6,0,"jcnd   zf.1,",21375,"lds     ebp, [ecx-5Eh]",False,0x00000000,0x0000537F
7,0,goto,21378,scasd,False,0x00000000,0x00005382
8,0,"jcnd   zf.1,",21379,stosb,False,0x00000000,0x00005383
9,0,"jcnd   zf.1,",21380,"xor     edi, eax",False,0x00000000,0x00005384
10,0,"jcnd   zf.1,",21383,"sbb     ah, ah",False,0x00000000,0x00005387
11,0,goto,21385,lahf,False,0x00000000,0x00005389
12,0,"jcnd   zf.1,",21386,pop     ebx,False,0x00000000,0x0000538A
13,0,goto,21387,jnp     short near ptr loc_40534E+1,False,0x00000000,0x0000538B
14,0,"jcnd   tt.1,",30544,jz      short loc_40778E,False,0x00000000,0x00007750
15,0,goto,30546,cli,False,0x00000000,0x00007752
16,0,"jcnd   tt.1,",30547,"mov     ah, 0B1h",False,0x00000000,0x00007753
17,0,goto,30549,"adc     byte ptr [edi], 0E5h",False,0x00000000,0x00007755
18,0,"jcnd   zf.1,",30552,popa,False,0x00000000,0x00007758
19,0,goto,30553,scasd,False,0x00000000,0x00007759
20,0,"jcnd   tt.1,",30554,jb      short loc_4077B3,False,0x00000000,0x0000775A
21,0,goto,30556,scasb,False,0x00000000,0x0000775C
22,0,"jcnd   zf.1,",30557,"fcmovb  st, st(7)",False,0x00000000,0x0000775D
23,0,"jcnd   tt.1,",30559,"lds     ebp, [ecx+34h]",False,0x00000000,0x0000775F
24,0,goto,30562,cli,False,0x00000000,0x00007762
25,0,"jcnd   zf.1,",567440,push    ebp,False,0x00000000,0x0008A890
26,0,"jcnd   zf.1,",567441,"mov     ebp, esp",False,0x00000000,0x0008A891
27,0,"jcnd   zf.1,",567443,push    0FFFFFFFFh,False,0x00000000,0x0008A893
28,0,"jcnd   zf.1,",567445,push    offset SEH_48A890,False,0x00000000,0x0008A895
29,0,"jcnd   tt.1,",567450,"mov     eax, large fs:0",False,0x00000000,0x0008A89A
30,0,goto,567456,push    eax,False,0x00000000,0x0008A8A0
31,0,"jcnd   zf.1,",567457,"sub     esp, 4F0h",False,0x00000000,0x0008A8A1
32,0,"jcnd   zf.1,",567463,"mov     eax, ___security_cookie",False,0x00000000,0x0008A8A7
33,0,goto,567468,"xor     eax, ebp",False,0x00000000,0x0008A8AC
34,0,"jcnd   tt.1,",567470,"mov     [ebp+var_10], eax",False,0x00000000,0x0008A8AE
35,0,"jcnd   zf.1,",567473,push    eax,False,0x00000000,0x0008A8B1
36,0,"jcnd   zf.1,",567474,"lea     eax, [ebp+var_C]",False,0x00000000,0x0008A8B2
