address,name_legit,size_legit,nodes_legit,edges_legit,inst_count_legit,mnemonic_sha1_legit,disasm_sha1_legit,mnemonic_preview_legit,name_patched,size_patched,nodes_patched,edges_patched,inst_count_patched,mnemonic_sha1_patched,disasm_sha1_patched,mnemonic_preview_patched,_merge,classification,inst_delta,size_delta
4744096,sub_4863A0,8714.0,262.0,666.0,9452.0,86264974cfd0c638956d73fdaa17b1a42c15b1da,93e01d1a2341f6498eeec5b6da554ded04895710,jcnd jcnd goto jcnd goto jcnd jcnd goto jcnd goto jcnd jcnd goto jcnd goto jcnd jcnd jcnd jcnd jcnd jcnd jcnd jcnd goto jcnd goto jcnd jcnd goto jcnd goto jcnd jcnd jcnd goto jcnd jcnd jcnd goto jcnd jcnd jcnd goto jcnd jcnd jcnd jcnd jcnd jcnd goto jcnd goto jcnd jcnd goto jcnd goto jcnd jcnd goto jcnd goto jcnd jcnd jcnd goto jcnd goto jcnd jcnd jcnd jcnd jcnd goto jcnd jcnd jcnd goto jcnd goto,sub_4863A0,8803.0,274.0,690.0,1856.0,c72b18122af5c96938047db80dc03c3ca5859dd5,c3615a3e5db8a7698ff87bcfe8ba926deaf0d9bc,jz cli mov adc popa scasd jb scasb fcmovb lds cli test fisttp scasd jz cli mov xor scasb fcmovb lds scasd stosb xor sbb lahf pop jnp xchg jnp les pop xor retn xor xchg retn push mov push push mov push sub mov xor mov push lea mov mov mov push lea call mov mov mov push push call mov call mov push lea call mov push lea call mov mov push lea call mov push lea call,both,patched,7596.0,89.0
4761744,sub_48A890,3336.0,89.0,214.0,3599.0,b66811d373d4f05c4fc64328b4bd11cdd7bdbd81,04ba1694c5575a13225865530ac09cf65e956996,jcnd jcnd goto jcnd goto jcnd jcnd goto jcnd jcnd jcnd goto jcnd goto jcnd goto jcnd goto jcnd goto jcnd goto jcnd jcnd goto jcnd jcnd jcnd jcnd jcnd goto jcnd jcnd goto jcnd jcnd jcnd goto jcnd mov mov mov mov und und mov mov und und und mov mov mov sub stx mov mov mov mov sub stx mov nop push mov sub mov mov nop nop mov mov call mov mov mov mov sub stx mov,sub_48A890,3384.0,98.0,232.0,742.0,7c70e4cb3a7640d36c10af7114e4b192da33edef,40d99e33fa6d02ba4e3f2660850a48b268e54ab6,jz cli mov xor scasb fcmovb lds scasd stosb xor sbb lahf pop jnp jz cli mov adc popa scasd jb scasb fcmovb lds cli push mov push push mov push sub mov xor mov push lea mov mov mov push lea call mov mov call test jnz call test jz mov push lea call mov mov mov mov mov or mov push push push lea push push mov call push call add mov jmp mov mov mov and jz,both,patched,2857.0,48.0
4442144,"private: class std::ostreambuf_iterator<unsigned short,struct std::char_traits<unsigned short>> std::money_put<unsigned short,class std::ostreambuf_iterator<unsigned short,struct std::char_traits<unsigned short>>>::_Putmfld(class std::ostreambuf_iterator<unsigned short,struct std::char_traits<unsigned short>>,bool,class std::ios_base near &,unsigned short,bool,class std::basic_string<unsigned short,struct std::char_traits<unsigned short>,class std::allocator<unsigned short>>,unsigned short)const",1473.0,103.0,288.0,2632.0,646fb56380c8eb225d7419307a82caef33429c95,2f857503b933de98a5b40218a4d0c6b89cc6853e,jcnd goto jcnd goto jcnd jcnd jcnd jcnd jcnd jcnd jcnd jcnd jcnd goto jcnd goto jcnd jcnd jcnd jcnd jcnd jcnd goto jcnd goto goto goto goto jcnd jcnd jcnd jcnd jcnd jcnd goto jcnd jcnd jcnd goto jcnd jcnd jcnd jcnd jcnd goto jcnd jcnd goto jcnd jcnd goto jcnd jcnd goto jcnd jcnd goto jcnd goto jcnd jcnd jcnd jcnd push mov call mov mov mov movzx mov movzx mov mov push and lea call cmp jz,sub_43C820,1589.0,119.0,324.0,521.0,9104cf8a9ccf3ef4fbd4913bf3cefd6998c66482,53d9a0d6693d6d320f292c788de0d2ba0fe23d3b,push mov call mov mov mov movzx mov movzx mov mov push and lea call cmp jz lea mov push call mov mov jmp lea mov push call mov mov pop lea mov call mov mov lea push mov call mov call mov mov call cdq mov xor sub mov cmp ja push mov lea sub inc push push call jmp cmp lea jb mov cmp jz cmp lea jb mov cmp jle mov call cmp lea movzx jb mov,both,patched,2111.0,116.0
4443523,?_Putmfld@?$money_put@GV?$ostreambuf_iterator@GU?$char_traits@G@std@@@std@@@std@@ABE?AV?$ostreambuf_iterator@GU?$char_traits@G@std@@@2@V32@_NAAVios_base@2@G1V?$basic_string@GU?$char_traits@G@std@@V?$allocator@G@2@@2@G@Z_0,1473.0,103.0,288.0,2632.0,646fb56380c8eb225d7419307a82caef33429c95,79570ede318e924a7b91fcb60b5e2cf8ef6584a2,jcnd goto jcnd goto jcnd jcnd jcnd jcnd jcnd jcnd jcnd jcnd jcnd goto jcnd goto jcnd jcnd jcnd jcnd jcnd jcnd goto jcnd goto goto goto goto jcnd jcnd jcnd jcnd jcnd jcnd goto jcnd jcnd jcnd goto jcnd jcnd jcnd jcnd jcnd goto jcnd jcnd goto jcnd jcnd goto jcnd jcnd goto jcnd jcnd goto jcnd goto jcnd jcnd jcnd jcnd push mov call mov mov mov movzx mov movzx mov mov push and lea call cmp jz,sub_43CD83,1589.0,119.0,324.0,521.0,9104cf8a9ccf3ef4fbd4913bf3cefd6998c66482,eddcb4bff041595851d86941ff390b0b91d8822d,push mov call mov mov mov movzx mov movzx mov mov push and lea call cmp jz lea mov push call mov mov jmp lea mov push call mov mov pop lea mov call mov mov lea push mov call mov call mov mov call cdq mov xor sub mov cmp ja push mov lea sub inc push push call jmp cmp lea jb mov cmp jz cmp lea jb mov cmp jle mov call cmp lea movzx jb mov,both,patched,2111.0,116.0
4765408,sub_48B6E0,2565.0,44.0,72.0,2484.0,c8de07725a41896c02f1a6fd23ed65e05e397232,d1f6b59e5bea728ba57b0aa3be087420cd984ec8,mov mov mov mov und und mov mov und und und mov mov mov sub stx mov mov sub ldx mov mov nop nop mov mov call mov mov mov mov sub stx mov mov sub ldx mov mov mov mov mov stx mov mov sub ldx mov mov mov mov mov add stx mov nop push mov sub mov mov nop nop mov mov call mov mov mov mov sub stx mov mov mov mov sub stx mov mov,sub_48B6E0,2565.0,44.0,72.0,526.0,774bb21e3d3ed624a952e7fa9bf21de58b2c3e17,df73e134e22e7834808467817480bcb066c31c5e,push mov push push mov push sub mov xor mov push lea mov mov mov call mov mov mov mov mov push lea call mov mov mov lea push lea push lea call mov lea call push lea call mov mov mov lea push lea push lea call mov lea call push lea call mov mov mov lea push lea push lea call mov lea call push lea call mov mov mov lea push lea push lea call mov lea,both,patched,1958.0,0.0
4767520,sub_48BF20,1473.0,1.0,0.0,2331.0,27d88bdf5d1da8c16ed9eff676db98e76f5c67dc,baac31a020053bfade68cc23087755816ca91360,mov mov mov mov und und mov mov mov sub stx mov mov sub ldx mov mov nop nop mov mov call mov mov mov mov sub stx mov mov mov mov sub stx mov mov sub ldx mov nop push mov mov sub ldx mov nop push mov mov sub ldx mov nop push mov sub mov nop push mov nop nop mov mov call mov mov mov ldx mov mov mov mov stx mov mov add ldx mov,sub_48BF20,1473.0,1.0,0.0,458.0,aaa62c1734940ca7e05a2356df24a0a47a0d8826,05d83bd0017f526edfe4420cadfcc70c220f1d76,push mov sub mov mov call mov mov mov push mov push mov push lea push call mov mov mov mov mov mov mov mov mov push lea call push push lea call push lea push call add push push lea call push lea push call add push push push lea call push lea push call add mov mov mov mov mov mov mov mov mov mov mov mov call mov mov mov push mov push mov push lea push,both,patched,1873.0,0.0
4741984,sub_485B60,1496.0,48.0,104.0,1595.0,bd769fc17f3c23cbf824fc06eb9a9408f42a9694,ea1983ea5e360f1250808b79b064d77bcaf84246,jcnd jcnd goto jcnd goto jcnd goto jcnd goto jcnd goto jcnd goto jcnd goto jcnd goto jcnd goto goto jcnd jcnd mov mov mov mov und und mov mov und und und mov mov mov sub stx mov mov mov mov sub stx mov sub mov mov nop nop mov mov call mov mov mov mov sub stx mov mov mov mov sub stx mov mov mov mov sub stx mov nop push mov nop push mov nop nop,sub_485B60,1496.0,48.0,104.0,324.0,cef014f013a7e62bc0c6203c77c6e6733fff5fcd,2923c6b0d3f2a099328174742ba22c9c1540c56a,push mov push push mov push sub mov xor mov push lea mov mov mov lea call mov mov mov push push call mov call mov lea push push push mov push push call mov cmp jz call test jz mov push lea call mov mov mov mov mov or mov mov push mov push push push push lea push push mov call push call add mov jmp mov mov mov and jz and lea call mov jmp push lea,both,patched,1271.0,0.0
4755136,sub_488EC0,1233.0,43.0,112.0,1364.0,b701d2cfbc39887881609a86152acdd42f31264e,9642d111214c8ab4e6ffe60f2b986b8456489db4,jcnd jcnd goto jcnd jcnd jcnd goto jcnd goto jcnd goto jcnd goto jcnd jcnd goto jcnd goto jcnd goto jcnd jcnd jcnd goto jcnd jcnd mov und und und und und mov mov und und und mov mov mov sub stx mov mov mov mov sub stx mov mov mov mov sub stx mov mov mov mov sub stx mov nop push mov nop push mov sub mov nop push mov nop nop mov mov call mov cfadd ofadd,sub_488EC0,1233.0,43.0,112.0,262.0,5e701bfb3e2cd85a2988bd868494cf1145caa22c,05df63217aa1cad99dccb5400207e5160a60a45b,push mov push push mov push mov call mov xor mov push lea mov mov mov mov mov push push lea push call add mov mov mov cmp jnz push push call mov call mov lea push push push mov push push call mov cmp jz mov jmp lea push lea push lea push push push mov push call mov cmp jnz cmp jz cmp jz jmp push lea push call add mov cmp jnz jmp xor mov mov lea,both,patched,1102.0,0.0
4740432,sub_485550,1020.0,38.0,88.0,1041.0,8804c4659e0dd01cd2b955799ec390c5b90c3c23,882df4969d037c24ff268d648914c9545c9c1c64,jcnd jcnd jcnd jcnd jcnd goto jcnd jcnd goto jcnd goto jcnd jcnd goto jcnd mov mov mov mov und und mov mov und und und mov mov mov sub stx mov mov mov mov sub stx mov nop push mov sub mov mov nop nop mov mov call mov mov mov mov sub stx mov nop push mov nop push mov nop nop mov mov call mov mov nop nop mov mov call nop push mov sub mov mov,sub_485550,1101.0,47.0,106.0,258.0,37f7c35b15b1f87344607fe37c23aa7f5718ea4f,f8c0aa041ec5f245846c0ac6ccf8245736e8ac2d,jz cli mov adc popa scasd jb scasb fcmovb lds cli dec mov xor retn mov add add cli into outsd xchg rol mov xchg inc cmp mov fcmovb jz push mov cli scasb add aad scasd pop xchg push mov push push mov push sub mov xor mov push lea mov mov mov push lea call mov push push call mov call push lea call mov lea call movzx test jnz push lea call mov lea push push push,both,patched,783.0,81.0
4379680,sub_42D420,33.0,3.0,6.0,56.0,1225468e93c6ceaa3e45a7a13c2281e11439c2f0,b4a4cbb687afe842bca233cabc6026007079ccc9,jcnd push mov mov test jz push call add mov mov pop retn mov mov mov add ldx mov mov and mov mov setz setp sets mov mov nop push mov nop nop mov mov call mov cfadd ofadd add setz setp sets mov mov mov mov mov add stx mov mov nop pop mov icall,sub_42D420,265.0,27.0,62.0,692.0,cfddcc17677cb1afde76ecb4e8bdb4ecf21d0c1c,8cbf5cbe22b67e11f1150a6a61ad007c85312b4e,jcnd jcnd jcnd jcnd jcnd jcnd jcnd jcnd jcnd goto jcnd jcnd jcnd goto jcnd jcnd jcnd goto jcnd jnz jcnd jcnd goto goto goto sbb push pop mov stosb sub sal nop retf adc sahf outsd test movsb mov js pop sbb retf mov cdq scasd pop or scasd shr jp mov movsd scasd into mov inc dec push jge cmp mov fcmovb jz lodsd lea jg jnb fist dec dec test jle mov rcl js mov scasb fcmovb,both,patched,636.0,232.0
