address,name_legit,size_legit,nodes_legit,edges_legit,inst_count_legit,mnemonic_sha1_legit,disasm_sha1_legit,mnemonic_preview_legit,name_patched,size_patched,nodes_patched,edges_patched,inst_count_patched,mnemonic_sha1_patched,disasm_sha1_patched,mnemonic_preview_patched,_merge,classification
4378544,sub_42CFB0,5.0,1.0,0.0,13.0,b8667dc2ceaeaaf96bebf9f508c702d1f602d592,0e49681f1c6d8903570d29582513bcba1c52aa06,xor retn mov mov mov setz setp sets nop pop mov add icall,sub_42CFB0,5.0,1.0,0.0,13.0,b8667dc2ceaeaaf96bebf9f508c702d1f602d592,0e49681f1c6d8903570d29582513bcba1c52aa06,xor retn mov mov mov setz setp sets nop pop mov add icall,both,same
4378560,sub_42CFC0,42.0,1.0,0.0,64.0,191ad3acdcc6e5f5eec8dc9d6cd89c6d5ea647e7,e23db65f7281cdf8065d34f95ea21d4446557b7f,push mov mov push push mov push mov push mov mov call mov call pop pop pop retn mov mov mov add ldx mov mov mov mov add ldx nop push mov mov ldx mov mov mov add ldx nop push mov mov add ldx mov mov mov nop nop mov mov ldx nop mov mov nop nop icall nop pop mov add icall,sub_42CFC0,42.0,1.0,0.0,64.0,191ad3acdcc6e5f5eec8dc9d6cd89c6d5ea647e7,e23db65f7281cdf8065d34f95ea21d4446557b7f,push mov mov push push mov push mov push mov mov call mov call pop pop pop retn mov mov mov add ldx mov mov mov mov add ldx nop push mov mov ldx mov mov mov add ldx nop push mov mov add ldx mov mov mov nop nop mov mov ldx nop mov mov nop nop icall nop pop mov add icall,both,same
4378608,sub_42CFF0,5.0,1.0,0.0,13.0,b8667dc2ceaeaaf96bebf9f508c702d1f602d592,8dd3c0ee9c73ec9a564312f168348de17eddc999,xor retn mov mov mov setz setp sets nop pop mov add icall,sub_42CFF0,5.0,1.0,0.0,13.0,b8667dc2ceaeaaf96bebf9f508c702d1f602d592,8dd3c0ee9c73ec9a564312f168348de17eddc999,xor retn mov mov mov setz setp sets nop pop mov add icall,both,same
4381824,sub_42DC80,39.0,1.0,0.0,61.0,e47ed0ae33dd13d662e3285b26260646eca35fe0,85435e2460bac136e1b86d9eb09bc8b922c9b7ac,push mov push push push mov mov mov mov call mov call push call pop pop pop retn mov mov mov add ldx nop push mov mov mov ldx mov mov mov ldx mov mov mov nop nop mov mov ldx nop mov mov nop nop icall nop push mov nop nop mov mov ldx icall nop pop mov add icall,sub_42DC80,39.0,1.0,0.0,61.0,e47ed0ae33dd13d662e3285b26260646eca35fe0,85435e2460bac136e1b86d9eb09bc8b922c9b7ac,push mov push push push mov mov mov mov call mov call push call pop pop pop retn mov mov mov add ldx nop push mov mov mov ldx mov mov mov ldx mov mov mov nop nop mov mov ldx nop mov mov nop nop icall nop push mov nop nop mov mov ldx icall nop pop mov add icall,both,same
4381952,sub_42DD00,39.0,1.0,0.0,61.0,e47ed0ae33dd13d662e3285b26260646eca35fe0,1fc6c96dc4b363f1d9b21a8ad1b8fa7dc67533bd,push mov push push push mov mov mov mov call mov call push call pop pop pop retn mov mov mov add ldx nop push mov mov mov ldx mov mov mov ldx mov mov mov nop nop mov mov ldx nop mov mov nop nop icall nop push mov nop nop mov mov ldx icall nop pop mov add icall,sub_42DD00,39.0,1.0,0.0,61.0,e47ed0ae33dd13d662e3285b26260646eca35fe0,1fc6c96dc4b363f1d9b21a8ad1b8fa7dc67533bd,push mov push push push mov mov mov mov call mov call push call pop pop pop retn mov mov mov add ldx nop push mov mov mov ldx mov mov mov ldx mov mov mov nop nop mov mov ldx nop mov mov nop nop icall nop push mov nop nop mov mov ldx icall nop pop mov add icall,both,same
4382000,sub_42DD30,45.0,1.0,0.0,75.0,032dbc277ed92c0c547c30e7a157cfa6657739f8,9743aa1d61b7857036ddaab4c9ac847dac310680,push mov push push push mov push push mov mov mov call mov call push call pop pop pop retn mov mov mov add ldx nop push mov mov mov add ldx nop push mov mov add ldx nop push mov mov ldx mov mov mov ldx mov mov mov nop nop mov mov ldx nop mov mov nop nop icall nop push mov nop nop mov mov ldx icall nop pop mov add icall,sub_42DD30,45.0,1.0,0.0,75.0,032dbc277ed92c0c547c30e7a157cfa6657739f8,9743aa1d61b7857036ddaab4c9ac847dac310680,push mov push push push mov push push mov mov mov call mov call push call pop pop pop retn mov mov mov add ldx nop push mov mov mov add ldx nop push mov mov add ldx nop push mov mov ldx mov mov mov ldx mov mov mov nop nop mov mov ldx nop mov mov nop nop icall nop push mov nop nop mov mov ldx icall nop pop mov add icall,both,same
4382048,sub_42DD60,45.0,1.0,0.0,75.0,032dbc277ed92c0c547c30e7a157cfa6657739f8,26b8b845afdac3c60372be6bc86ecf5f88a14785,push mov push push push mov push push mov mov mov call mov call push call pop pop pop retn mov mov mov add ldx nop push mov mov mov add ldx nop push mov mov add ldx nop push mov mov ldx mov mov mov ldx mov mov mov nop nop mov mov ldx nop mov mov nop nop icall nop push mov nop nop mov mov ldx icall nop pop mov add icall,sub_42DD60,45.0,1.0,0.0,75.0,032dbc277ed92c0c547c30e7a157cfa6657739f8,26b8b845afdac3c60372be6bc86ecf5f88a14785,push mov push push push mov push push mov mov mov call mov call push call pop pop pop retn mov mov mov add ldx nop push mov mov mov add ldx nop push mov mov add ldx nop push mov mov ldx mov mov mov ldx mov mov mov nop nop mov mov ldx nop mov mov nop nop icall nop push mov nop nop mov mov ldx icall nop pop mov add icall,both,same
4383408,sub_42E2B0,32.0,5.0,10.0,63.0,006e648903a453d5be5072e0dbd8c180a9b22f94,b1e2e9f7b61618b24e7ebda03f2335a7972a89bd,jcnd jcnd goto push mov mov test jz sub cmp jnz mov pop jmp pop retn mov mov mov add ldx mov mov and mov mov setz setp sets mov mov mov setb seto sub setz setp sets mov mov ldx mov setb seto sub setz setp sets mov mov lnot mov mov mov add stx mov mov call nop pop mov icall,sub_42E2B0,32.0,5.0,10.0,63.0,006e648903a453d5be5072e0dbd8c180a9b22f94,b1e2e9f7b61618b24e7ebda03f2335a7972a89bd,jcnd jcnd goto push mov mov test jz sub cmp jnz mov pop jmp pop retn mov mov mov add ldx mov mov and mov mov setz setp sets mov mov mov setb seto sub setz setp sets mov mov ldx mov setb seto sub setz setp sets mov mov lnot mov mov mov add stx mov mov call nop pop mov icall,both,same
4383904,sub_42E4A0,10.0,1.0,0.0,2.0,1f5f07315d0cbd11742c89cf47f38d4e25dede0e,cd8d63d4759b8dd570a2b412fe0c6409e476238d,push call,sub_42E4A0,10.0,1.0,0.0,2.0,1f5f07315d0cbd11742c89cf47f38d4e25dede0e,cd8d63d4759b8dd570a2b412fe0c6409e476238d,push call,both,same
4384948,public: ATL::_ATL_BASE_MODULE70::_ATL_BASE_MODULE70(void),35.0,1.0,0.0,68.0,455027db28877583527d297ec3123e8eaf5e557d,d7facc0de83587177f39dde02d6096fc0db72558,push push mov xor push push lea push call add mov mov mov mov pop pop retn mov mov mov mov setz setp sets mov nop push nop push mov add mov nop push mov nop nop mov mov call mov cfadd ofadd add setz setp sets mov mov mov mov add stx mov mov mov add stx mov mov mov mov add stx nop pop mov icall,public: ATL::_ATL_BASE_MODULE70::_ATL_BASE_MODULE70(void),35.0,1.0,0.0,68.0,455027db28877583527d297ec3123e8eaf5e557d,d7facc0de83587177f39dde02d6096fc0db72558,push push mov xor push push lea push call add mov mov mov mov pop pop retn mov mov mov mov setz setp sets mov nop push nop push mov add mov nop push mov nop nop mov mov call mov cfadd ofadd add setz setp sets mov mov mov mov add stx mov mov mov add stx mov mov mov mov add stx nop pop mov icall,both,same
