idx,legit_addr,legit_disasm,patched_addr,patched_disasm,same_line,legit_addr_hex,patched_addr_hex
0,0,"jcnd   zf.1,",249219,push    0D8h,False,0x00000000,0x0003CD83
1,0,goto,249224,"mov     eax, offset loc_490EF6",False,0x00000000,0x0003CD88
2,0,"jcnd   tt.1,",249229,call    __EH_prolog3_GS,False,0x00000000,0x0003CD8D
3,0,goto,249234,"mov     eax, [ebp+arg_0]",False,0x00000000,0x0003CD92
4,0,"jcnd   cf.1,",249237,"mov     edi, [ebp+arg_10]",False,0x00000000,0x0003CD95
5,0,"jcnd   zf.1,",249240,"mov     [ebp+var_9C], eax",False,0x00000000,0x0003CD98
6,0,"jcnd   cf.1,",249246,"movzx   eax, [ebp+arg_14]",False,0x00000000,0x0003CD9E
7,0,"jcnd   tt.1,",249250,"mov     [ebp+var_84], eax",False,0x00000000,0x0003CDA2
8,0,"jcnd   cf.1,",249256,"movzx   eax, [ebp+arg_34]",False,0x00000000,0x0003CDA8
9,0,"jcnd   zf.1,",249260,"mov     [ebp+var_80], edi",False,0x00000000,0x0003CDAC
10,0,"jcnd   tt.1,",249263,"mov     [ebp+var_98], eax",False,0x00000000,0x0003CDAF
11,0,"jcnd   tt.1,",249269,push    dword ptr [edi+30h],False,0x00000000,0x0003CDB5
12,0,"jcnd   tt.1,",249272,"and     [ebp+var_4], 0",False,0x00000000,0x0003CDB8
13,0,goto,249276,"lea     ecx, [ebp+var_94]",False,0x00000000,0x0003CDBC
14,0,"jcnd   zf.1,",249282,call    loc_416140,False,0x00000000,0x0003CDC2
15,0,goto,249287,"cmp     [ebp+arg_C], 0",False,0x00000000,0x0003CDC7
16,0,"jcnd   zf.1,",249291,jz      short loc_43CDE4,False,0x00000000,0x0003CDCB
17,0,"jcnd   zf.1,",249293,"lea     eax, [ebp+var_94]",False,0x00000000,0x0003CDCD
18,0,"jcnd   zf.1,",249299,"mov     byte ptr [ebp+var_4], 1",False,0x00000000,0x0003CDD3
19,0,"jcnd   zf.1,",249303,push    eax,False,0x00000000,0x0003CDD7
20,0,"jcnd   zf.1,",249304,"call    ??$use_facet@V?$num_get@DV?$istreambuf_iterator@DU?$char_traits@D@std@@@std@@@std@@@std@@YAABV?$num_get@DV?$istreambuf_iterator@DU?$char_traits@D@std@@@std@@@0@ABVlocale@0@@Z_15; std::use_facet<std::num_get<char,std::istreambuf_iterator<char>>>(std::locale const &)",False,0x00000000,0x0003CDD8
21,0,"jcnd   zf.1,",249309,"mov     ebx, eax",False,0x00000000,0x0003CDDD
22,0,goto,249311,"mov     [ebp+var_74], ebx",False,0x00000000,0x0003CDDF
23,0,"jcnd   tt.1,",249314,jmp     short loc_43CDF9,False,0x00000000,0x0003CDE2
24,0,goto,249316,"lea     eax, [ebp+var_94]",False,0x00000000,0x0003CDE4
25,0,goto,249322,"mov     byte ptr [ebp+var_4], 2",False,0x00000000,0x0003CDEA
26,0,goto,249326,push    eax,False,0x00000000,0x0003CDEE
27,0,goto,249327,"call    ??$use_facet@V?$num_get@DV?$istreambuf_iterator@DU?$char_traits@D@std@@@std@@@std@@@std@@YAABV?$num_get@DV?$istreambuf_iterator@DU?$char_traits@D@std@@@std@@@0@ABVlocale@0@@Z_16; std::use_facet<std::num_get<char,std::istreambuf_iterator<char>>>(std::locale const &)",False,0x00000000,0x0003CDEF
28,0,"jcnd   zf.1,",249332,"mov     ebx, eax",False,0x00000000,0x0003CDF4
29,0,"jcnd   cf.1,",249334,"mov     [ebp+var_74], eax",False,0x00000000,0x0003CDF6
30,0,"jcnd   tt.1,",249337,pop     ecx,False,0x00000000,0x0003CDF9
31,0,"jcnd   tt.1,",249338,"lea     ecx, [ebp+var_94]",False,0x00000000,0x0003CDFA
32,0,"jcnd   tt.1,",249344,"mov     byte ptr [ebp+var_4], 0",False,0x00000000,0x0003CE00
33,0,"jcnd   tt.1,",249348,call    loc_407B90,False,0x00000000,0x0003CE04
34,0,goto,249353,"mov     eax, [ebx]",False,0x00000000,0x0003CE09
35,0,"jcnd   zf.1,",249355,"mov     esi, [eax+14h]",False,0x00000000,0x0003CE0B
36,0,"jcnd   tt.1,",249358,"lea     eax, [ebp+var_40]",False,0x00000000,0x0003CE0E
37,0,"jcnd   tt.1,",249361,push    eax,False,0x00000000,0x0003CE11
38,0,goto,249362,"mov     ecx, esi",False,0x00000000,0x0003CE12
39,0,"jcnd   zf.1,",249364,call    ds:___guard_check_icall_fptr; _guard_check_icall_nop(x) ...,False,0x00000000,0x0003CE14
40,0,"jcnd   zf.1,",249370,"mov     ecx, ebx",False,0x00000000,0x0003CE1A
41,0,"jcnd   zf.1,",249372,call    esi,False,0x00000000,0x0003CE1C
42,0,"jcnd   zf.1,",249374,"mov     ecx, ebx",False,0x00000000,0x0003CE1E
43,0,"jcnd   zf.1,",249376,"mov     byte ptr [ebp+var_4], 3",False,0x00000000,0x0003CE20
44,0,goto,249380,call    unknown_libname_53; Microsoft VisualC 14/net runtime,False,0x00000000,0x0003CE24
45,0,"jcnd   tt.1,",249385,cdq,False,0x00000000,0x0003CE29
46,0,"jcnd   cf.1,",249386,"mov     ebx, eax",False,0x00000000,0x0003CE2A
47,0,goto,249388,"xor     ebx, edx",False,0x00000000,0x0003CE2C
48,0,"jcnd   tt.1,",249390,"sub     ebx, edx",False,0x00000000,0x0003CE2E
49,0,"jcnd   cf.1,",249392,"mov     [ebp+var_7C], ebx",False,0x00000000,0x0003CE30
50,0,goto,249395,"cmp     [ebp+arg_2C], ebx",False,0x00000000,0x0003CE33
51,0,"jcnd   cf.1,",249398,ja      short loc_43CE51,False,0x00000000,0x0003CE36
52,0,"jcnd   cf.1,",249400,push    [ebp+var_98],False,0x00000000,0x0003CE38
53,0,goto,249406,"mov     eax, ebx",False,0x00000000,0x0003CE3E
54,0,"jcnd   tt.1,",249408,"lea     ecx, [ebp+arg_1C]",False,0x00000000,0x0003CE40
55,0,"jcnd   cf.1,",249411,"sub     eax, [ebp+arg_2C]",False,0x00000000,0x0003CE43
56,0,goto,249414,inc     eax,False,0x00000000,0x0003CE46
57,0,"jcnd   cf.1,",249415,push    eax,False,0x00000000,0x0003CE47
58,0,goto,249416,push    0,False,0x00000000,0x0003CE48
59,0,"jcnd   tt.1,",249418,call    loc_422960,False,0x00000000,0x0003CE4A
60,0,"jcnd   cf.1,",249423,jmp     short loc_43CEC1,False,0x00000000,0x0003CE4F
61,0,"jcnd   tt.1,",249425,"cmp     [ebp+var_2C], 10h",False,0x00000000,0x0003CE51
62,0,"jcnd   cf.1,",249429,"lea     eax, [ebp+var_40]",False,0x00000000,0x0003CE55
63,249219,push    0D8h,249432,jb      short loc_43CE5D,False,0x0003CD83,0x0003CE58
64,249224,"mov     eax, offset loc_490EF6",249434,"mov     eax, [ebp+var_40]",False,0x0003CD88,0x0003CE5A
65,249229,call    __EH_prolog3_GS,249437,"cmp     byte ptr [eax], 7Fh",False,0x0003CD8D,0x0003CE5D
66,249234,"mov     eax, [ebp+arg_0]",249440,jz      short loc_43CEC1,False,0x0003CD92,0x0003CE60
67,249237,"mov     edi, [ebp+arg_10]",249442,"cmp     [ebp+var_2C], 10h",False,0x0003CD95,0x0003CE62
68,249240,"mov     [ebp+var_9C], eax",249446,"lea     eax, [ebp+var_40]",False,0x0003CD98,0x0003CE66
69,249246,"movzx   eax, [ebp+arg_14]",249449,jb      short loc_43CE6E,False,0x0003CD9E,0x0003CE69
70,249250,"mov     [ebp+var_84], eax",249451,"mov     eax, [ebp+var_40]",False,0x0003CDA2,0x0003CE6B
