address,name_legit,name_patched,mnemonic_preview_legit,mnemonic_preview_patched
4198448,sub_401030,sub_401030,push mov mov call push call add pop retn mov mov mov mov nop nop mov mov call mov nop push mov nop nop mov mov call mov cfadd ofadd add setz setp sets mov nop pop mov icall,jcnd goto goto jz cli jmp mov mov call icall
4198480,sub_401050,sub_401050,push mov mov call push call mov mov mov mov nop nop mov mov call mov nop push mov nop nop mov mov call mov cfadd ofadd add setz setp sets mov nop pop mov icall add pop retn,jcnd goto goto jz cli call lodsd test sal mov and cmpsb out mov mov call mov nop nop icall mov mov ldx mov mov add mov and mov mov setz setp sets mov cfshl shl und setz setp sets mov mov mov mov sub ldx mov and mov mov setz setp sets stx mov mov ldx mov mov ldx setb seto sub setz setp sets mov add add mov call seto sub setz setp sets mov xdu call mov
4198512,sub_401070,sub_401070,mov mov mov mov nop nop mov mov call mov nop push mov nop nop mov mov call mov cfadd ofadd add setz setp sets mov nop pop mov icall push mov mov call push call add pop retn,jcnd goto goto mov mov call mov mov sub ldx ofadd add setz setp sets stx mov mov sub ldx mov add ldx mov mov ldx setb seto sub setz setp sets mov add mov mov sub ldx mov mov cfadd ofadd add cfadd ofadd or or add setz setp sets stx mov mov ldx mov mov ldx setb seto sub setz setp sets mov add add mov call seto sub setz setp sets mov xdu call mov call mov
4198560,sub_4010A0,sub_4010A0,mov mov mov mov nop nop mov mov call nop pop mov icall push mov mov call pop retn,jcnd jcnd jcnd goto goto goto goto mov mov mov mov mov call mov nop nop mov nop nop mov mov sub ldx add ldx icall mov mov mov mov mov mov xor or lnot mov add mov sub ldx cfadd ofadd add setz setp sets stx jz cli call jz mov jg add
4198608,sub_4010D0,sub_4010D0,mov mov nop push mov mov mov nop nop mov mov call nop pop mov icall push mov push mov call pop retn,jcnd jcnd goto mov mov call mov mov mov mov sub ldx cfshr shr und setz setp sets stx mov mov ldx ext stx mov mov ldx setb seto sub setz setp sets mov add mov mov and mov mov setz setp sets lnot mov.fpu mov nop push call mov mov ldx setb seto sub setz setp sets mov add mov mov ldx cfadd ofadd add setz setp sets mov call call mov nop nop mov nop nop mov mov
4198688,sub_401120,sub_401120,mov nop push mov nop nop mov mov ldx icall mov mov mov stx nop pop mov icall push call mov retn,goto seto sub setz setp sets mov mov ldx setb seto sub setz setp sets mov add mov cfshr mov mov und nop push mov mov add ldx xdu add setb seto sub setz setp sets mov mov mov mov mov ldx setb seto sub setz setp sets mov add mov mov and mov mov setz setp sets dec scasd ror push sbb xchg scasb test
4198736,sub_401150,sub_401150,mov nop push mov nop nop mov mov ldx icall mov mov mov stx nop pop mov icall push call mov retn,jcnd goto goto ofadd add setz setp sets ext mov mov ldx mov mov stx mov add add mov mov mov mov mov ldx setb seto sub setz setp sets mov add mov mov mov stx ext mov mov nop pop mov mov ldx mov mov add mov and mov mov setz setp sets mov call mov nop nop mov nop nop mov mov icall call mov nop nop mov nop nop mov mov icall inc daa movsd xchg scasb
4198832,sub_4011B0,sub_4011B0,mov nop push mov nop nop mov mov call nop pop nop pop mov icall push call pop retn,goto ofadd add setz setp sets ext inc iret
4198864,sub_4011D0,sub_4011D0,mov nop push mov nop nop mov mov call mov mov mov mov stx mov nop nop mov mov call nop pop nop pop mov icall push call mov call pop retn,ofadd add setz setp sets mov mov add ldx add ldx icall inc jmp
4199056,sub_401290,sub_401290,mov nop nop mov mov call mov mov mov stx nop pop mov icall call mov retn,mov mov sub ldx mov cfshr shr und setz setp sets stx mov mov sub ldx mov mov mov mov mov cfadd ofadd add cfadd ofadd or or add setz setp sets mov mov ldx setb seto sub setz setp sets mov add mov mov ldx cfadd ofadd add setz setp sets mov call shr mov xchg adc scasb add
