address,name_legit,size_legit,nodes_legit,edges_legit,inst_count_legit,mnemonic_sha1_legit,disasm_sha1_legit,mnemonic_preview_legit,name_patched,size_patched,nodes_patched,edges_patched,inst_count_patched,mnemonic_sha1_patched,disasm_sha1_patched,mnemonic_preview_patched,_merge,classification
4198400,ResolveWinExec,33.0,1.0,0.0,41.0,ec6c4bf25edd2f323c78b135c97c28618d46b011,b2488eb8a6c80ed4e69edb3036f13ddd85fe638d,push mov push push call push call mov pop retn mov mov nop push mov nop push mov nop nop mov mov ldx icall nop push mov nop nop mov mov ldx icall mov mov mov stx nop pop mov icall,,,,,,,,,left_only,removed_from_patched
4198544,sub_401090,15.0,1.0,0.0,19.0,8e63de282e30235e657edfecab16692892f7cf3b,a7cb763340711f43df08109c187b1cdc7f88a41b,mov mov mov mov nop nop mov mov call nop pop mov icall push mov mov call pop retn,,,,,,,,,left_only,removed_from_patched
4198576,sub_4010B0,17.0,1.0,0.0,23.0,4754a4d8644fa78e6bb69e67a138f496783e6c71,dde632de6febe1f2c536fb9dcc24f30f62d37f12,mov mov nop push mov mov mov nop nop mov mov call nop pop mov icall push mov push mov call pop retn,,,,,,,,,left_only,removed_from_patched
4198640,sub_4010F0,15.0,1.0,0.0,19.0,8e63de282e30235e657edfecab16692892f7cf3b,76acff7c24594d5668f7584892e32a60dfdd9b4a,mov mov mov mov nop nop mov mov call nop pop mov icall push mov mov call pop retn,,,,,,,,,left_only,removed_from_patched
4198656,sub_401100,28.0,1.0,0.0,39.0,5bcec560dc9bec6c561ba12ef3a07355d1be9968,a2e9a02cbd5c19f375a218f0a0bc572a1b804ab7,mov mov mov mov nop nop mov mov call mov nop push mov nop nop mov mov call mov cfadd ofadd add setz setp sets mov nop pop mov icall push mov mov call push call add pop retn,,,,,,,,,left_only,removed_from_patched
4198704,sub_401130,14.0,1.0,0.0,22.0,f51e9fac510b9d44a75d88e85d282efdaf972290,9bccde673705ff5130e9f5d98dcfdab3902420ca,mov nop push mov nop nop mov mov ldx icall mov mov mov stx nop pop mov icall push call mov retn,,,,,,,,,left_only,removed_from_patched
4198720,sub_401140,9.0,1.0,0.0,17.0,95f0d0464d1d15a1cf83b91d27a02e34ff944229,ed31df22ad964bd4f6ec4a5e4bcc81ded8913097,mov nop push mov nop nop mov mov ldx icall nop pop mov icall push call retn,,,,,,,,,left_only,removed_from_patched
4198768,sub_401170,22.0,1.0,0.0,29.0,0d234ea77237fa4e754431a4271507c7b7e4e3ec,489dea94f6844bc4394eb8d50b78b4de6f827924,mov mov mov nop nop mov mov call mov nop push mov nop nop mov mov call nop pop nop pop mov icall mov call push call pop retn,,,,,,,,,left_only,removed_from_patched
4198800,sub_401190,22.0,1.0,0.0,29.0,0d234ea77237fa4e754431a4271507c7b7e4e3ec,6da8a11d36f56a0f5d0a08fd6dcee60c9169f1c1,mov mov mov nop nop mov mov call mov nop push mov nop nop mov mov call nop pop nop pop mov icall mov call push call pop retn,,,,,,,,,left_only,removed_from_patched
4198848,sub_4011C0,12.0,1.0,0.0,19.0,c423235315fe32c1fc6df965eafa1abed34b9766,b8fdbbd98857b989badb5518bb3a09bcde904c40,mov nop push mov nop nop mov mov call nop pop nop pop mov icall push call pop retn,,,,,,,,,left_only,removed_from_patched
4198944,sub_401220,22.0,1.0,0.0,29.0,0d234ea77237fa4e754431a4271507c7b7e4e3ec,71f456d5c624b4f47fc6d2b7c4a361ad10422884,mov mov mov nop nop mov mov call mov nop push mov nop nop mov mov call nop pop nop pop mov icall mov call push call pop retn,,,,,,,,,left_only,removed_from_patched
4198976,sub_401240,12.0,1.0,0.0,19.0,c423235315fe32c1fc6df965eafa1abed34b9766,44c943392d19c9c5a881bf04606c73003b7517a1,mov nop push mov nop nop mov mov call nop pop nop pop mov icall push call pop retn,,,,,,,,,left_only,removed_from_patched
