address,name_legit,name_patched,size_legit,size_patched,nodes_legit,nodes_patched,edges_legit,edges_patched,inst_count_legit,inst_count_patched,mnemonic_sha1_legit,mnemonic_sha1_patched,disasm_sha1_legit,disasm_sha1_patched,mnemonic_preview_legit,mnemonic_preview_patched,_merge,classification,inst_delta,size_delta
4378544,sub_42CFB0,sub_42CFB0,5,5,1,1,0,0,13,13,545f97151fe52d5519b742ee45fa94937651ca5e,545f97151fe52d5519b742ee45fa94937651ca5e,f89a1bc8a89417dffbb1d5ddd9861df7a3636846,f89a1bc8a89417dffbb1d5ddd9861df7a3636846,xor retn mov mov mov setz setp sets nop pop mov add icall,xor retn mov mov mov setz setp sets nop pop mov add icall,both,same,,
4378560,sub_42CFC0,sub_42CFC0,42,42,1,1,0,0,64,64,c0fcec717ac8b64acd34c639e25f1faf1bd475e6,c0fcec717ac8b64acd34c639e25f1faf1bd475e6,90f3860e4689e66f91184ff21c82de81e6bac9c7,90f3860e4689e66f91184ff21c82de81e6bac9c7,push mov mov push push mov push mov push mov mov call mov call pop pop pop retn mov mov mov add ldx mov mov mov mov add ldx nop push mov mov ldx mov mov mov add ldx nop push mov mov add ldx mov mov mov nop nop mov mov ldx nop mov mov nop nop icall nop pop mov add icall,push mov mov push push mov push mov push mov mov call mov call pop pop pop retn mov mov mov add ldx mov mov mov mov add ldx nop push mov mov ldx mov mov mov add ldx nop push mov mov add ldx mov mov mov nop nop mov mov ldx nop mov mov nop nop icall nop pop mov add icall,both,same,,
4378608,sub_42CFF0,sub_42CFF0,5,5,1,1,0,0,13,13,545f97151fe52d5519b742ee45fa94937651ca5e,545f97151fe52d5519b742ee45fa94937651ca5e,ff735526c4bcfe4b25aa0510465044826b377e60,ff735526c4bcfe4b25aa0510465044826b377e60,xor retn mov mov mov setz setp sets nop pop mov add icall,xor retn mov mov mov setz setp sets nop pop mov add icall,both,same,,
4381824,sub_42DC80,sub_42DC80,39,39,1,1,0,0,61,61,ea48c06ec5fcca5191046f7c2a7d1453a7e88904,ea48c06ec5fcca5191046f7c2a7d1453a7e88904,9695b9bb760f0bb9d8d3335972e3c65534215fdc,9695b9bb760f0bb9d8d3335972e3c65534215fdc,push mov push push push mov mov mov mov call mov call push call pop pop pop retn mov mov mov add ldx nop push mov mov mov ldx mov mov mov ldx mov mov mov nop nop mov mov ldx nop mov mov nop nop icall nop push mov nop nop mov mov ldx icall nop pop mov add icall,push mov push push push mov mov mov mov call mov call push call pop pop pop retn mov mov mov add ldx nop push mov mov mov ldx mov mov mov ldx mov mov mov nop nop mov mov ldx nop mov mov nop nop icall nop push mov nop nop mov mov ldx icall nop pop mov add icall,both,same,,
4381952,sub_42DD00,sub_42DD00,39,39,1,1,0,0,61,61,ea48c06ec5fcca5191046f7c2a7d1453a7e88904,ea48c06ec5fcca5191046f7c2a7d1453a7e88904,26197bbc6b05f0b3edaa8b88a7f7427ea35bc9c0,26197bbc6b05f0b3edaa8b88a7f7427ea35bc9c0,push mov push push push mov mov mov mov call mov call push call pop pop pop retn mov mov mov add ldx nop push mov mov mov ldx mov mov mov ldx mov mov mov nop nop mov mov ldx nop mov mov nop nop icall nop push mov nop nop mov mov ldx icall nop pop mov add icall,push mov push push push mov mov mov mov call mov call push call pop pop pop retn mov mov mov add ldx nop push mov mov mov ldx mov mov mov ldx mov mov mov nop nop mov mov ldx nop mov mov nop nop icall nop push mov nop nop mov mov ldx icall nop pop mov add icall,both,same,,
4382000,sub_42DD30,sub_42DD30,45,45,1,1,0,0,75,75,5dd3133e2ec18a77a148247d6d594461b270b9af,5dd3133e2ec18a77a148247d6d594461b270b9af,4d06b602a22a3d161815c2265db39fb522ffc1d8,4d06b602a22a3d161815c2265db39fb522ffc1d8,push mov push push push mov push push mov mov mov call mov call push call pop pop pop retn mov mov mov add ldx nop push mov mov mov add ldx nop push mov mov add ldx nop push mov mov ldx mov mov mov ldx mov mov mov nop nop mov mov ldx nop mov mov nop nop icall nop push mov nop nop mov mov ldx icall nop pop mov add icall,push mov push push push mov push push mov mov mov call mov call push call pop pop pop retn mov mov mov add ldx nop push mov mov mov add ldx nop push mov mov add ldx nop push mov mov ldx mov mov mov ldx mov mov mov nop nop mov mov ldx nop mov mov nop nop icall nop push mov nop nop mov mov ldx icall nop pop mov add icall,both,same,,
4382048,sub_42DD60,sub_42DD60,45,45,1,1,0,0,75,75,5dd3133e2ec18a77a148247d6d594461b270b9af,5dd3133e2ec18a77a148247d6d594461b270b9af,eea0b099bc3916b192f1da0710e622a537ca436f,eea0b099bc3916b192f1da0710e622a537ca436f,push mov push push push mov push push mov mov mov call mov call push call pop pop pop retn mov mov mov add ldx nop push mov mov mov add ldx nop push mov mov add ldx nop push mov mov ldx mov mov mov ldx mov mov mov nop nop mov mov ldx nop mov mov nop nop icall nop push mov nop nop mov mov ldx icall nop pop mov add icall,push mov push push push mov push push mov mov mov call mov call push call pop pop pop retn mov mov mov add ldx nop push mov mov mov add ldx nop push mov mov add ldx nop push mov mov ldx mov mov mov ldx mov mov mov nop nop mov mov ldx nop mov mov nop nop icall nop push mov nop nop mov mov ldx icall nop pop mov add icall,both,same,,
4383408,sub_42E2B0,sub_42E2B0,32,32,5,5,10,10,63,63,eecd3a961c36f34eef147420bef26dc87c189c18,eecd3a961c36f34eef147420bef26dc87c189c18,b7eaff8f8fb3becfb0f1b380020cd20b08960e4c,b7eaff8f8fb3becfb0f1b380020cd20b08960e4c,jcnd jcnd goto push mov mov test jz sub cmp jnz mov pop jmp pop retn mov mov mov add ldx mov mov and mov mov setz setp sets mov mov mov setb seto sub setz setp sets mov mov ldx mov setb seto sub setz setp sets mov mov lnot mov mov mov add stx mov mov call nop pop mov icall,jcnd jcnd goto push mov mov test jz sub cmp jnz mov pop jmp pop retn mov mov mov add ldx mov mov and mov mov setz setp sets mov mov mov setb seto sub setz setp sets mov mov ldx mov setb seto sub setz setp sets mov mov lnot mov mov mov add stx mov mov call nop pop mov icall,both,same,,
4383904,sub_42E4A0,sub_42E4A0,10,10,1,1,0,0,2,2,32dc0b109a1f56dda4d124473e8101ef7355a11e,32dc0b109a1f56dda4d124473e8101ef7355a11e,6e90eed821f9f99ad535c392199f03580cef0518,6e90eed821f9f99ad535c392199f03580cef0518,push call,push call,both,same,,
4384948,public: ATL::_ATL_BASE_MODULE70::_ATL_BASE_MODULE70(void),public: ATL::_ATL_BASE_MODULE70::_ATL_BASE_MODULE70(void),35,35,1,1,0,0,68,68,99611e729026ab0c3766a60bd2b5dc25b07dbd18,99611e729026ab0c3766a60bd2b5dc25b07dbd18,a2bc0b887cbe2e29c0fe61a319dc67398da4d126,a2bc0b887cbe2e29c0fe61a319dc67398da4d126,push push mov xor push push lea push call add mov mov mov mov pop pop retn mov mov mov mov setz setp sets mov nop push nop push mov add mov nop push mov nop nop mov mov call mov cfadd ofadd add setz setp sets mov mov mov mov add stx mov mov mov add stx mov mov mov mov add stx nop pop mov icall,push push mov xor push push lea push call add mov mov mov mov pop pop retn mov mov mov mov setz setp sets mov nop push nop push mov add mov nop push mov nop nop mov mov call mov cfadd ofadd add setz setp sets mov mov mov mov add stx mov mov mov add stx mov mov mov mov add stx nop pop mov icall,both,same,,
